Positive	Negative	Text
1	-1	### What changes were proposed in this pull request?1, make `array_insert` accept int `pos` and `Any` value2, add it to connect### Why are the changes needed?to be consistent with other pyspark functions### Does this PR introduce _any_ user-facing change?yes### How was this patch tested?added tests
1	-2	### What changes were proposed in this pull request?This fixes how setting for limiting recursive depth is handled in Protobuf functions (`recursive.fields.max.depth`). Original documentation says as setting it to '0' removes the recursive field. But we never did that. We allow at least once. E.g. schema for recursive message 'EventPerson' does not change between the settings '0' or '1'. This fixes it by requiring the max depth to be at least 1. It also fixes how the recursion enfored. Updated the tests and added an extra test with new protobuf 'EventPersonWrapper'. I will annotate the diff inline pointing to main fixes. ### Why are the changes needed?This fixes a bug with enforcing `recursive.fields.max.depth` and clarifies more in the documentation. ### Does this PR introduce _any_ user-facing change?No.### How was this patch tested?- Unit tests
2	-1	### What changes were proposed in this pull request?`array_append` should accept `Any` value### Why are the changes needed?make `array_append` consistent with other array functions in pyspark### Does this PR introduce _any_ user-facing change?yes### How was this patch tested?added UT
1	-2	### What changes were proposed in this pull request?match https://github.com/apache/spark/pull/40135### Why are the changes needed?`DataFrame.drop` should handle duplicated columns properly.we can not always convert column names to columns when there are multi columns with the same name.### Does this PR introduce _any_ user-facing change?No### How was this patch tested?enabled tests
2	-3	### What changes were proposed in this pull request?Update javascript library DataTables, used in the UI, to 1.13.2.### Why are the changes needed?The 1.10.25 version of DataTables, that Spark currently uses, seems vulerable: https://security.snyk.io/package/npm/datatables.net/1.10.25. The vulnerability may not affect Spark but it is safer to update.### Does this PR introduce _any_ user-facing change?No.### How was this patch tested?Manual test.
2	-2	Currently PySpark version of `catalog.cacheTable` function does not support to specify storage level. This is to add that.After changes:## Spark Connect```bin/pyspark --remote \"local[*]\"Python 3.9.5 (default, Nov 23 2021, 15:27:38) [GCC 9.3.0] on linuxType \"help\ \"copyright\ \"credits\" or \"license\" for more information.Setting default log level to \"WARN\".To adjust logging level use sc.setLogLevel(newLevel). For SparkR, use setLogLevel(newLevel).23/02/17 20:41:07 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicableWelcome to      ____              __     / __/__  ___ _____/ /__    _\\ \\/ _ \\/ _ `/ __/  '_/   /__ / .__/\\_,_/_/ /_/\\_\\   version 3.5.0.dev0      /_/Using Python version 3.9.5 (default, Nov 23 2021 15:27:38)Client connected to the Spark Connect server at localhostSparkSession available as 'spark'.>>> spark.range(1).write.saveAsTable(\"tab1\ format=\"csv\ mode=\"overwrite\")>>> spark.catalog.listTables()[Table(name='tab1', catalog='spark_catalog', namespace=['default'], description=None, tableType='MANAGED', isTemporary=False)]>>> spark.catalog.cacheTable(\"tab1\")>>> spark.catalog.isCached(\"tab1\")True>>> spark.catalog.clearCache()>>> spark.catalog.isCached(\"tab1\")False>>> from pyspark.storagelevel import StorageLevel>>> spark.catalog.cacheTable(\"tab1\ StorageLevel.OFF_HEAP)>>> spark.catalog.isCached(\"tab1\")True```## PySpark```/home/spark# bin/pysparkPython 3.9.5 (default, Nov 23 2021, 15:27:38) [GCC 9.3.0] on linuxType \"help\ \"copyright\ \"credits\" or \"license\" for more information.Setting default log level to \"WARN\".To adjust logging level use sc.setLogLevel(newLevel). For SparkR, use setLogLevel(newLevel).23/02/17 20:43:46 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicableWelcome to      ____              __     / __/__  ___ _____/ /__    _\\ \\/ _ \\/ _ `/ __/  '_/   /__ / .__/\\_,_/_/ /_/\\_\\   version 3.5.0-SNAPSHOT      /_/Using Python version 3.9.5 (default, Nov 23 2021 15:27:38)Spark context Web UI available at http://localhost:4040Spark context available as 'sc' (master = local[*], app id = local-1676666626670).SparkSession available as 'spark'.>>> spark.range(1).write.saveAsTable(\"tab2\ format=\"csv\ mode=\"overwrite\")>>> spark.catalog.listTables()[Table(name='tab2', catalog='spark_catalog', namespace=['default'], description=None, tableType='MANAGED', isTemporary=False)]>>> spark.catalog.cacheTable(\"tab2\")>>> >>> spark.catalog.isCached(\"tab2\")True>>> spark.catalog.clearCache()>>> spark.catalog.isCached(\"tab2\")False>>> from pyspark.storagelevel import StorageLevel>>> spark.catalog.cacheTable(\"tab2\ StorageLevel.OFF_HEAP)>>> spark.catalog.isCached(\"tab2\")True```### What changes were proposed in this pull request?Add extra parameter to catalog.cacheTable### Why are the changes needed?To allow users specify which storage level to use in cache in PySpark/Connect code### Does this PR introduce _any_ user-facing change?Yes### How was this patch tested?Updated existing test cases 
2	-1	### What changes were proposed in this pull request?This PR improves `TreeNode.multiTransform()` to generate the alternative sequences only if needed and fully dynamically. Consider the following simplified example:```(a + b).multiTransform {  case a => Stream(1, 2)  case b => Stream(10, 20)}```the result is the cartesian product: `Stream(1 + 10, 2 + 10, 1 + 20, 2 + 20)`.Currently `multiTransform` calculates the 2 alternative streams for `a` and `b` **before** start building building the cartesian product stream using `+`. So kind of caches the \"inner\" `Stream(1, 2)` in the beginning and when the \"outer\" stream (`Stream(10, 20)`) iterates from `10` to `20` reuses the cache. Although this caching is sometimes useful it has 2 drawbacks:- If the \"outer\" (`b` alternatives) stream returns `Seq.emtpy` (to indicate pruning) the alternatives for the `a` are unecessary calculated and will be discarded.- The \"inner\" stream transformation can't depend on the current \"outer\" stream alternative.   E.g. let's see the above `a + b` example but we want to transform both `a` and `b` to `1` and `2`, and we want to have only those alternatives where these 2 are transformed equal (`Stream(1 + 1, 2 + 2)`). This is currently it is not possible with a single `multiTransform` call due to the inner stream alternatives are calculated in advance and cached. But, if `multiTransform` would be dynamic and the \"inner\" alternatives stream would be recalculated when the \"outer\" alternatives stream iterates then this would be possible:  ```  // Cache  var a_or_b = None  (a + b).multiTransform {    case a | b =>      // Return alternatives from cache if this is not the first encounter      a_or_b.getOrElse(        // Besides returning the alternatives for the first encounter, also set up a mechanism to        // update the cache when the new alternatives are requested.        Stream(Literal(1), Literal(2)).map { x =>          a_or_b = Some(Seq(x))          x        }.append {          a_or_b = None          Seq.empty        })  }  ```Please note:- that this is a simplified example and we could have run 2 simple `transforms` to get the exprected 2 expressions, but `multiTransform` can do other orthogonal transformations in the same run (e.g. `c` -> `Seq(100, 200)`) and `multiTransform` has the advantage of returning the results lazlily as a stream.- the original behaviour of caching \"inner\" alternative streams is still doable and actually our current usecases in `AliasAwareOutputExpression` and in `BroadcastHashJoinExec` still do it as they store the alternatives in advance in maps and the `multiTransform` call just gets the alternatives from those maps when needed. ### Why are the changes needed?Improvement to make `multiTransform` more versatile.### Does this PR introduce _any_ user-facing change?No.### How was this patch tested?Added new UTs.
3	-2	<!--Thanks for sending a pull request!  Here are some tips for you:  1. If this is your first time, please read our contributor guidelines: https://spark.apache.org/contributing.html  2. Ensure you have added or run the appropriate tests for your PR: https://spark.apache.org/developer-tools.html  3. If the PR is unfinished, add '[WIP]' in your PR title, e.g., '[WIP][SPARK-XXXX] Your PR title ...'.  4. Be sure to keep the PR description updated to reflect all changes.  5. Please write your PR title to summarize what this PR proposes.  6. If possible, provide a concise example to reproduce the issue for a faster review.  7. If you want to add a new configuration, please read the guideline first for naming configurations in     'core/src/main/scala/org/apache/spark/internal/config/ConfigEntry.scala'.  8. If you want to add or modify an error type or message, please read the guideline first in     'core/src/main/resources/error/README.md'.-->### What changes were proposed in this pull request?<!--Please clarify what changes you are proposing. The purpose of this section is to outline the changes and how this PR fixes the issue. If possible, please consider writing useful notes for better and faster reviews in your PR. See the examples below.  1. If you refactor some codes with changing classes, showing the class hierarchy will help reviewers.  2. If you fix some SQL features, you can provide some references of other DBMSes.  3. If there is design documentation, please add the link.  4. If there is a discussion in the mailing list, please add the link.-->### Why are the changes needed?<!--Please clarify why the changes are needed. For instance,  1. If you propose a new API, clarify the use case for a new API.  2. If you fix a bug, you can clarify why it is a bug.-->### Does this PR introduce _any_ user-facing change?<!--Note that it means *any* user-facing change including all aspects such as the documentation fix.If yes, please clarify the previous behavior and the change this PR proposes - provide the console output, description and/or an example to show the behavior difference if possible.If possible, please also clarify if this is a user-facing change compared to the released Spark versions or within the unreleased branches such as master.If no, write 'No'.-->### How was this patch tested?<!--If tests were added, say they were added here. Please make sure to add some test cases that check the changes thoroughly including negative and positive cases if possible.If it was tested in a way different from regular unit tests, please clarify how you tested step by step, ideally copy and paste-able, so that other reviewers can test and check, and descendants can verify in the future.If tests were not added, please describe why they were not added and/or why it was difficult to add.If benchmark tests were added, please run the benchmarks in GitHub Actions for the consistent environment, and the instructions could accord to: https://spark.apache.org/developer-tools.html#github-workflow-benchmarks.-->
3	-3	<!--Thanks for sending a pull request!  Here are some tips for you:  1. If this is your first time, please read our contributor guidelines: https://spark.apache.org/contributing.html  2. Ensure you have added or run the appropriate tests for your PR: https://spark.apache.org/developer-tools.html  3. If the PR is unfinished, add '[WIP]' in your PR title, e.g., '[WIP][SPARK-XXXX] Your PR title ...'.  4. Be sure to keep the PR description updated to reflect all changes.  5. Please write your PR title to summarize what this PR proposes.  6. If possible, provide a concise example to reproduce the issue for a faster review.  7. If you want to add a new configuration, please read the guideline first for naming configurations in     'core/src/main/scala/org/apache/spark/internal/config/ConfigEntry.scala'.  8. If you want to add or modify an error type or message, please read the guideline first in     'core/src/main/resources/error/README.md'.-->### What changes were proposed in this pull request?<!--Please clarify what changes you are proposing. The purpose of this section is to outline the changes and how this PR fixes the issue. If possible, please consider writing useful notes for better and faster reviews in your PR. See the examples below.  1. If you refactor some codes with changing classes, showing the class hierarchy will help reviewers.  2. If you fix some SQL features, you can provide some references of other DBMSes.  3. If there is design documentation, please add the link.  4. If there is a discussion in the mailing list, please add the link.-->In v2 writes, make createJobDescription in FileWrite.toBatch not lazy### Why are the changes needed?<!--Please clarify why the changes are needed. For instance,  1. If you propose a new API, clarify the use case for a new API.  2. If you fix a bug, you can clarify why it is a bug.-->There is a difference in behavior between v1 writes and v2 writes in the order of events happening when configuring the file writer and the committer.v1:writer.prepareWrite()committer.setupJob()v2:committer.setupJob()writer.prepareWrite() This is because the `prepareWrite()` call (that is the one performing the call `job.setOutputFormatClass(classOf[ParquetOutputFormat[Row]])`)happens as part of the `createWriteJobDescription` which is `lazy val` in the `toBatch` call and therefore is evaluated after the `committer.setupJob` at the end of the `toBatch`This causes issues when evaluating the committer as some elements might be missing, for example the aforementioned output format class not being set, causing the committer being set up as generic write instead of parquet write. The fix is very simple and it is to make the `createJobDescription` call non-lazy### Does this PR introduce _any_ user-facing change?<!--Note that it means *any* user-facing change including all aspects such as the documentation fix.If yes, please clarify the previous behavior and the change this PR proposes - provide the console output, description and/or an example to show the behavior difference if possible.If possible, please also clarify if this is a user-facing change compared to the released Spark versions or within the unreleased branches such as master.If no, write 'No'.-->No### How was this patch tested?<!--If tests were added, say they were added here. Please make sure to add some test cases that check the changes thoroughly including negative and positive cases if possible.If it was tested in a way different from regular unit tests, please clarify how you tested step by step, ideally copy and paste-able, so that other reviewers can test and check, and descendants can verify in the future.If tests were not added, please describe why they were not added and/or why it was difficult to add.If benchmark tests were added, please run the benchmarks in GitHub Actions for the consistent environment, and the instructions could accord to: https://spark.apache.org/developer-tools.html#github-workflow-benchmarks.-->Existing test.
1	-1	### What changes were proposed in this pull request?Add a lot of the existing Dataframe APIs to the Spark Connect Scala Client.This PR does not contain:- Typed APIs- Aggregation- Streaming (not supported by connect just yet)- NA/Stats functions- TempView registration.### Why are the changes needed?We want the Scala Client Dataset to reach parity with the existing Dataset.### How was this patch tested?Added a lot of golden tests.Added a number of test cases to the E2E suite for the functionality that requires server interaction.
1	-1	### What changes were proposed in this pull request?Added some changes to the docstrings to make the docs more readable.<img width=\"752\" alt=\"image\" src=\"https://user-images.githubusercontent.com/81988348/218838122-c28fcba7-dff8-498d-9be2-57b8efc498cd.png\"><img width=\"725\" alt=\"image\" src=\"https://user-images.githubusercontent.com/81988348/218882816-729508fb-afc7-49b5-8ff8-92d42390fa2d.png\">### Why are the changes needed?Just for readability's sake.### Does this PR introduce _any_ user-facing change?No?### How was this patch tested?Not Needed.
1	-1	### What changes were proposed in this pull request?This is a follow-up of #39882.Fixes `FunctionsParityTests.test_raise_error` to call the proper test.### Why are the changes needed?`FunctionsParityTests.test_raise_error` should've called `check_raise_error`.### Does this PR introduce _any_ user-facing change?No.### How was this patch tested?The fixed test.
